Task,Classifier,CV Accuracy,Test Accuracy,F1-Score
Task 1: SCI vs NON-SCI,Naive Bayes,0.8465 ± 0.0374,0.7939,0.7966
Task 1: SCI vs NON-SCI,SVM,0.8547 ± 0.0336,0.8026,0.8036
Task 1: SCI vs NON-SCI,Logistic Regression,0.8562 ± 0.0361,0.8289,0.8308
Task 1: SCI vs NON-SCI,Decision Tree,0.7974 ± 0.0297,0.7325,0.7289
Task 1: SCI vs NON-SCI,KNN,0.5008 ± 0.0251,0.3377,0.1812
Task 1: SCI vs NON-SCI,Random Forest,0.8383 ± 0.0303,0.7982,0.8006
Task 2: CLAIM/REF vs CONTEXT,Naive Bayes,0.9142 ± 0.0357,0.8000,0.8320
Task 2: CLAIM/REF vs CONTEXT,SVM,0.9380 ± 0.0120,0.8667,0.8667
Task 2: CLAIM/REF vs CONTEXT,Logistic Regression,0.9289 ± 0.0286,0.8800,0.8836
Task 2: CLAIM/REF vs CONTEXT,Decision Tree,0.9362 ± 0.0307,0.8533,0.8646
Task 2: CLAIM/REF vs CONTEXT,KNN,0.8451 ± 0.1099,0.7600,0.8005
Task 2: CLAIM/REF vs CONTEXT,Random Forest,0.9744 ± 0.0167,0.9333,0.9160
Task 3: CLAIM vs REF vs CONTEXT,Naive Bayes,0.8153 ± 0.0594,0.5867,0.6254
Task 3: CLAIM vs REF vs CONTEXT,SVM,0.9037 ± 0.0345,0.6000,0.6297
Task 3: CLAIM vs REF vs CONTEXT,Logistic Regression,0.8943 ± 0.0435,0.6000,0.6237
Task 3: CLAIM vs REF vs CONTEXT,Decision Tree,0.8089 ± 0.0558,0.4933,0.5431
Task 3: CLAIM vs REF vs CONTEXT,KNN,0.6637 ± 0.0695,0.2133,0.0927
Task 3: CLAIM vs REF vs CONTEXT,Random Forest,0.8389 ± 0.0287,0.5467,0.5634
