	tweet_id	text	science_related	scientific_claim	scientific_reference	scientific_context
0	316669998137483264	Knees are a bit sore. i guess that's a sign that my recent treadmilling is working	0	0.0	0.0	0.0
1	319090866545385472	McDonald's breakfast stop then the gym 🏀💪	0	0.0	0.0	0.0
2	322030931022065664	Can any Gynecologist with Cancer Experience explain the dangers of Transvaginal Douching with Fluoride or other toxins such as Dioxin? #PDX	1	1.0	0.0	0.0
3	322694830620807168	Couch-lock highs lead to sleeping in the couch. Gotta stop doing this shit.	1	1.0	0.0	0.0
4	328524426658328576	Does daily routine help prevent problems with bipolar disorder http://t.co/XGUfUDoLJB	1	1.0	0.0	0.0
6	331396203700944896	The Impact of Infertility on You and Your Relationship http://t.co/7pF7Z0wH8f	0	0.0	0.0	0.0
8	333266791960809472	“Traffic Jam” In Brain’s Neurons Could Be Cause Of Statin-Related Cognitive Decline http://t.co/kQ3XPdePKX	1	1.0	1.0	1.0
9	334282732085587968	Can playing more games improve lives and save the world? by @chris_pelle via @PostArcade http://t.co/uEtVu099Ad #CDA30	1	1.0	0.0	0.0
10	334350038090276864	The effect of climate change on iceberg production by Greenland glaciers http://t.co/CtnPhcmD7c	1	0.0	1.0	1.0
11	335542235452014594	@HankAzaria @TheSimpsons oh loneliness and cheeseburgers are a dangerous mix	0	0.0	0.0	0.0
12	336431788618551297	#bbcsportsday Honestly think Liverpool are a left back and a right wing away from CL. Fabio Coentrao and James Rodriguez?	0	0.0	0.0	0.0
13	339453990179844097	@bpkelly12 if that damn book lady decides to stop being a fuckin retard ill be out of here in 2 days	0	0.0	0.0	0.0
14	339558700970815488	Science sucks.	0	0.0	0.0	0.0
15	342204279160987648	http://t.co/eJlnUg0Gog Pay attention to classification essays format	0	0.0	0.0	0.0
16	344256820552011777	@RepCohen @SenAlexander @SenBobCorker pls support #NIH funding to help fight #pancreaticcancer @PanCAN @PanCANMemphis #ifight4MyDad	1	0.0	0.0	1.0
17	344906283360591873	Poverty is the greatest cause behind child labour. #RisePakistan	1	1.0	0.0	0.0
18	345226308780974081	"""@TheFactsBook: Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.""@dietervoigtsa dink jy dis waar?"	1	1.0	0.0	0.0
19	346130801726988290	About to just go to bed maybe cry a little and maybe stop breathing okay? Okay.	0	0.0	0.0	0.0
20	348110995861954560	"""@GreatestNotes: Stop searching for the right person. Just look for a good catcher.The one who could catch your heart when it starts falling"	0	0.0	0.0	0.0
